query_label: 0 || retrieved_object_label: 0
query_label: 0 || retrieved_object_label: 0
query_label: 0 || retrieved_object_label: 0
query_label: 0 || retrieved_object_label: 0
query_label: 0 || retrieved_object_label: 0
query_label: 1 || retrieved_object_label: 1
query_label: 1 || retrieved_object_label: 1
query_label: 1 || retrieved_object_label: 1
query_label: 1 || retrieved_object_label: 2
query_label: 1 || retrieved_object_label: 1
query_label: 2 || retrieved_object_label: 2
query_label: 2 || retrieved_object_label: 16
query_label: 2 || retrieved_object_label: 2
query_label: 2 || retrieved_object_label: 30
query_label: 2 || retrieved_object_label: 27
query_label: 3 || retrieved_object_label: 3
query_label: 3 || retrieved_object_label: 3
query_label: 3 || retrieved_object_label: 3
query_label: 3 || retrieved_object_label: 3
query_label: 3 || retrieved_object_label: 36
query_label: 4 || retrieved_object_label: 4
query_label: 4 || retrieved_object_label: 4
query_label: 4 || retrieved_object_label: 4
query_label: 4 || retrieved_object_label: 4
query_label: 4 || retrieved_object_label: 4
query_label: 5 || retrieved_object_label: 5
query_label: 5 || retrieved_object_label: 5
query_label: 5 || retrieved_object_label: 5
query_label: 5 || retrieved_object_label: 37
query_label: 5 || retrieved_object_label: 19
query_label: 6 || retrieved_object_label: 6
query_label: 6 || retrieved_object_label: 6
query_label: 6 || retrieved_object_label: 6
query_label: 6 || retrieved_object_label: 15
query_label: 6 || retrieved_object_label: 15
query_label: 7 || retrieved_object_label: 7
query_label: 7 || retrieved_object_label: 7
query_label: 7 || retrieved_object_label: 7
query_label: 7 || retrieved_object_label: 7
query_label: 7 || retrieved_object_label: 7
query_label: 8 || retrieved_object_label: 8
query_label: 8 || retrieved_object_label: 8
query_label: 8 || retrieved_object_label: 8
query_label: 8 || retrieved_object_label: 35
query_label: 8 || retrieved_object_label: 8
query_label: 9 || retrieved_object_label: 9
query_label: 9 || retrieved_object_label: 9
query_label: 9 || retrieved_object_label: 9
query_label: 9 || retrieved_object_label: 9
query_label: 9 || retrieved_object_label: 9
query_label: 10 || retrieved_object_label: 10
query_label: 10 || retrieved_object_label: 10
query_label: 10 || retrieved_object_label: 10
query_label: 10 || retrieved_object_label: 37
query_label: 10 || retrieved_object_label: 10
query_label: 11 || retrieved_object_label: 11
query_label: 11 || retrieved_object_label: 13
query_label: 11 || retrieved_object_label: 11
query_label: 11 || retrieved_object_label: 13
query_label: 11 || retrieved_object_label: 24
